CPTAC_ovarian_cancer_protein_zscores.txt,gene_symbol	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt,gene_symbol_site	color	source
ABL1	NFKBIA_y305	102,204,0	PhosphoSitePlus (PSP)
ABL1	NUMA1_y1774	102,204,0	PhosphoSitePlus (PSP)
ABL1	PDGFRB_y686	102,204,0	PhosphoSitePlus (PSP)
ABL1	PDGFRB_y934	102,204,0	PhosphoSitePlus (PSP)
ABL1	PDGFRB_y970	102,204,0	PhosphoSitePlus (PSP)
ABL1	PDK1_y243	102,204,0	PhosphoSitePlus (PSP)
ABL1	PIK3AP1_y513	102,204,0	PhosphoSitePlus (PSP)
ABL1	PIK3AP1_y553	102,204,0	PhosphoSitePlus (PSP)
ABL1	PIK3AP1_y570	102,204,0	PhosphoSitePlus (PSP)
ABL1	PIK3AP1_y594	102,204,0	PhosphoSitePlus (PSP)
ABL1	PIK3AP1_y694	102,204,0	PhosphoSitePlus (PSP)
ABL1	PLCG1_y1003	102,204,0	PhosphoSitePlus (PSP)
ABL1	PLCG1_y771	102,204,0	PhosphoSitePlus (PSP)
ABL1	PLEKHG2_y489	102,204,0	PhosphoSitePlus (PSP)
ABL1	PLK1_y217	102,204,0	PhosphoSitePlus (PSP)
ABL1	PLK1_y425	102,204,0	PhosphoSitePlus (PSP)
ABL1	PLK1_y445	102,204,0	PhosphoSitePlus (PSP)
ABL1	PLSCR1_y69	102,204,0	PhosphoSitePlus (PSP)
ABL1	PLSCR1_y74	102,204,0	PhosphoSitePlus (PSP)
ABL1	PRKD1_y463	102,204,0	PhosphoSitePlus (PSP)
ABL1	PRKN_y143	102,204,0	PhosphoSitePlus (PSP)
ABL1	PSMA7_y106	102,204,0	PhosphoSitePlus (PSP)
ABL1	PSMA7_y153	102,204,0	PhosphoSitePlus (PSP)
ABL1	PXN_y118	102,204,0	PhosphoSitePlus (PSP)
ABL1	PXN_y31	102,204,0	PhosphoSitePlus (PSP)
ABL1	RACK1_y52	102,204,0	PhosphoSitePlus (PSP)
ABL1	RAD51_y315	102,204,0	PhosphoSitePlus (PSP)
ABL1	RAD51_y54	102,204,0	PhosphoSitePlus (PSP)
ABL1	RAD52_y104	102,204,0	PhosphoSitePlus (PSP)
ABL1	RAD9A_y28	102,204,0	PhosphoSitePlus (PSP)
ABL1	RAPGEF1_y504	102,204,0	PhosphoSitePlus (PSP)
ABL1	RB1_y805	102,204,0	PhosphoSitePlus (PSP)
ABL1	RBM39_y95	102,204,0	PhosphoSitePlus (PSP)
ABL1	RBM39_y99	102,204,0	PhosphoSitePlus (PSP)
ABL1	ROBO1_y1038	102,204,0	PhosphoSitePlus (PSP)
ABL1	ROBO1_y1073	102,204,0	PhosphoSitePlus (PSP)
ABL1	ROBO1_y1114	102,204,0	PhosphoSitePlus (PSP)
ABL1	SNCA_y39	102,204,0	PhosphoSitePlus (PSP)
ABL1	SNW1_y292	102,204,0	PhosphoSitePlus (PSP)
ABL1	SNW1_y430	102,204,0	PhosphoSitePlus (PSP)
ABL1	SNW1_y433	102,204,0	PhosphoSitePlus (PSP)
ABL1	SPTLC1_y164	102,204,0	PhosphoSitePlus (PSP)
ABL1	SRCIN1_y264	102,204,0	PhosphoSitePlus (PSP)
ABL1	SRCIN1_y396	102,204,0	PhosphoSitePlus (PSP)
ABL1	STK3_y81	102,204,0	PhosphoSitePlus (PSP)
ABL1	STK4_y433	102,204,0	PhosphoSitePlus (PSP)
ABL1	STX17_y157	102,204,0	PhosphoSitePlus (PSP)
ABL1	TBX21_y220	102,204,0	PhosphoSitePlus (PSP)
ABL1	TBX21_y266	102,204,0	PhosphoSitePlus (PSP)
ABL1	TBX21_y305	102,204,0	PhosphoSitePlus (PSP)
ABL1	TOP1_y268	102,204,0	PhosphoSitePlus (PSP)
ABL1	TP63_y149	102,204,0	PhosphoSitePlus (PSP)
ABL1	TP63_y171	102,204,0	PhosphoSitePlus (PSP)
ABL1	TP63_y290	102,204,0	PhosphoSitePlus (PSP)
ABL1	TP73_y99	102,204,0	PhosphoSitePlus (PSP)
ABL1	VAV1_y174	102,204,0	PhosphoSitePlus (PSP)
ABL1	VAV1_y267	102,204,0	PhosphoSitePlus (PSP)
ABL1	WAS_y291	102,204,0	PhosphoSitePlus (PSP)
ABL1	YAP1_y407	102,204,0	PhosphoSitePlus (PSP)
ABL1	YY1_y254	102,204,0	PhosphoSitePlus (PSP)
ABL1	ZAP70_y319	102,204,0	PhosphoSitePlus (PSP)
ABL2	ABL2_y261	102,204,0	PhosphoSitePlus (PSP)
ABL2	ABL2_y439	102,204,0	PhosphoSitePlus (PSP)
ABL2	ABLIM1_y357	228,71,228	tyrosineKinase
ABL2	ALKBH3_y127	228,71,228	tyrosineKinase
ABL2	ANKRD12_y943	228,71,228	tyrosineKinase
ABL2	ANXA3_y300	228,71,228	tyrosineKinase
ABL2	ARHGEF15_y353	228,71,228	tyrosineKinase
ABL2	ARHGEF7_y620	228,71,228	tyrosineKinase
ABL2	ATP9B_y69	228,71,228	tyrosineKinase
ABL2	BCAR1_y128	228,71,228	tyrosineKinase
ABL2	BCAR1_y234	228,71,228	tyrosineKinase
ABL2	BCAR1_y362	228,71,228	tyrosineKinase
ABL2	BMP2K_y1012	228,71,228	tyrosineKinase
ABL2	BRAF_y746	228,71,228	tyrosineKinase
ABL2	C19orf25_y63	228,71,228	tyrosineKinase
ABL2	CAPRIN1_y541	228,71,228	tyrosineKinase
ABL2	CAPZA3_y289	228,71,228	tyrosineKinase
ABL2	CASS4_y195	228,71,228	tyrosineKinase
ABL2	CASS4_y98	228,71,228	tyrosineKinase
ABL2	CAT_y231	102,204,0	PhosphoSitePlus (PSP)
ABL2	CAT_y386	102,204,0	PhosphoSitePlus (PSP)
ABL2	CBL_y337	51,153,255	PhosphoNetworks (PN)
ABL2	CBL_y700	51,153,255	PhosphoNetworks (PN)
ABL2	CBL_y774	51,153,255	PhosphoNetworks (PN)
ABL2	CBLB_y665	228,71,228	tyrosineKinase
ABL2	CCDC59_y176	228,71,228	tyrosineKinase
ABL2	CD22_y842	228,71,228	tyrosineKinase
ABL2	CD300A_y255	228,71,228	tyrosineKinase
ABL2	CD300LF_y284	228,71,228	tyrosineKinase
ABL2	CEBPB_y78	102,204,0	PhosphoSitePlus (PSP)
ABL2	CHI3L2_y82	228,71,228	tyrosineKinase
ABL2	CLDN3_y198	228,71,228	tyrosineKinase
ABL2	COBL_y867	228,71,228	tyrosineKinase
ABL2	CRAT_y110	228,71,228	tyrosineKinase
ABL2	CRK_y221	80,200,120	PhosphoSitePlus_tyrosineKinase
ABL2	CRK_y239	228,71,228	tyrosineKinase
ABL2	CSF2RB_y628	228,71,228	tyrosineKinase
ABL2	CST1_y64	228,71,228	tyrosineKinase
ABL2	DAB1_y220	228,71,228	tyrosineKinase
ABL2	DAB1_y232	228,71,228	tyrosineKinase
ABL2	DCBLD2_y750	228,71,228	tyrosineKinase
ABL2	DDR1_y484	228,71,228	tyrosineKinase
ABL2	DLG4_y744	228,71,228	tyrosineKinase
ABL2	DLGAP2_y229	228,71,228	tyrosineKinase
ABL2	DOCK2_y481	228,71,228	tyrosineKinase
ABL2	DYRK4_y264	228,71,228	tyrosineKinase
ABL2	EEF2_y443	228,71,228	tyrosineKinase
ABL2	EFS_y253	228,71,228	tyrosineKinase
ABL2	EIF4A3_y202	228,71,228	tyrosineKinase
ABL2	ENO3_y131	228,71,228	tyrosineKinase
ABL2	EVPL_y752	228,71,228	tyrosineKinase
ABL2	FES_y811	228,71,228	tyrosineKinase
ABL2	FLNA_y731	228,71,228	tyrosineKinase
ABL2	FLT3_y401	228,71,228	tyrosineKinase
ABL2	FN1_y2444	228,71,228	tyrosineKinase
ABL2	GPX1_y98	239,130,13	PSP, PN
ABL2	GRIA3_y460	228,71,228	tyrosineKinase
ABL2	HCK_y522	228,71,228	tyrosineKinase
ABL2	HOXD8_y10	228,71,228	tyrosineKinase
ABL2	HRAS_y137	102,204,0	PhosphoSitePlus (PSP)
ABL2	IL22RA1_y301	228,71,228	tyrosineKinase
ABL2	ITGB1_y783	102,204,0	PhosphoSitePlus (PSP)
ABL2	KLC4_y223	228,71,228	tyrosineKinase
ABL2	LAMTOR1_y140	228,71,228	tyrosineKinase
ABL2	LASP1_y171	228,71,228	tyrosineKinase
ABL2	LGALS3_y118	102,204,0	PhosphoSitePlus (PSP)
ABL2	LGALS3_y79	102,204,0	PhosphoSitePlus (PSP)
ABL2	LILRB1_y534	228,71,228	tyrosineKinase
ABL2	LILRB2_y533	228,71,228	tyrosineKinase
ABL2	LILRB4_y360	228,71,228	tyrosineKinase
ABL2	LIME1_y235	228,71,228	tyrosineKinase
ABL2	LRRFIP2_y304	228,71,228	tyrosineKinase
ABL2	LYN_y508	228,71,228	tyrosineKinase
ABL2	MAPKAPK3_y208	228,71,228	tyrosineKinase
ABL2	MAPT_y197	102,204,0	PhosphoSitePlus (PSP)
ABL2	MAPT_y310	102,204,0	PhosphoSitePlus (PSP)
ABL2	MAPT_y394	102,204,0	PhosphoSitePlus (PSP)
ABL2	MPZL1_y241	228,71,228	tyrosineKinase
ABL2	MRRF_y47	228,71,228	tyrosineKinase
ABL2	NAV2_y1579	228,71,228	tyrosineKinase
ABL2	NCKIPSD_y161	228,71,228	tyrosineKinase
ABL2	NEDD9_y106	228,71,228	tyrosineKinase
ABL2	NEDD9_y132	228,71,228	tyrosineKinase
ABL2	NEDD9_y189	228,71,228	tyrosineKinase
ABL2	NETO1_y417	228,71,228	tyrosineKinase
ABL2	NGEF_y179	228,71,228	tyrosineKinase
ABL2	NOP58_y342	228,71,228	tyrosineKinase
ABL2	NOS2_y868	228,71,228	tyrosineKinase
ABL2	NRK_y984	228,71,228	tyrosineKinase
ABL2	ORC3_y528	228,71,228	tyrosineKinase
ABL2	PCBP2_y236	228,71,228	tyrosineKinase
ABL2	PDGFRB_y686	102,204,0	PhosphoSitePlus (PSP)
ABL2	PHB_y249	228,71,228	tyrosineKinase
ABL2	PHB2_y248	228,71,228	tyrosineKinase
ABL2	PKP4_y275	228,71,228	tyrosineKinase
ABL2	PLEKHA6_y492	228,71,228	tyrosineKinase
ABL2	PLEKHA7_y656	228,71,228	tyrosineKinase
ABL2	PLK1_y217	228,71,228	tyrosineKinase
ABL2	POLD3_y42	228,71,228	tyrosineKinase
ABL2	PRKCQ_y90	228,71,228	tyrosineKinase
ABL2	PRKCZ_y417	228,71,228	tyrosineKinase
ABL2	PSMA7_y153	102,204,0	PhosphoSitePlus (PSP)
ABL2	PSMD9_y70	228,71,228	tyrosineKinase
ABL2	PSTPIP2_y333	228,71,228	tyrosineKinase
ABL2	PVRL2_y513	228,71,228	tyrosineKinase
ABL2	RAD54L2_y982	228,71,228	tyrosineKinase
ABL2	RBM15_y537	228,71,228	tyrosineKinase
ABL2	RBM5_y733	228,71,228	tyrosineKinase
ABL2	RCL1_y74	228,71,228	tyrosineKinase
ABL2	REPS2_y558	228,71,228	tyrosineKinase
ABL2	RIN1_y36	228,71,228	tyrosineKinase
ABL2	ROS1_y2334	228,71,228	tyrosineKinase
ABL2	RPL15_y62	228,71,228	tyrosineKinase
ABL2	RPS16_y82	228,71,228	tyrosineKinase
ABL2	RYBP_y70	228,71,228	tyrosineKinase
ABL2	SCAF8_y1237	228,71,228	tyrosineKinase
ABL2	SCML2_y506	228,71,228	tyrosineKinase
ABL2	SERBP1_y246	228,71,228	tyrosineKinase
ABL2	SIGLEC7_y460	228,71,228	tyrosineKinase
ABL2	SIVA1_y34	239,130,13	PSP, PN
ABL2	SLC20A2_y377	228,71,228	tyrosineKinase
ABL2	SLC25A24_y328	228,71,228	tyrosineKinase
ABL2	SMC4_y175	228,71,228	tyrosineKinase
ABL2	SMG8_y135	228,71,228	tyrosineKinase
ABL2	SNRNP200_y1754	228,71,228	tyrosineKinase
ABL2	SNX9_y219	228,71,228	tyrosineKinase
ABL2	SOWAHA_y425	228,71,228	tyrosineKinase
ABL2	SRSF10_y138	228,71,228	tyrosineKinase
ABL2	SS18_y416	228,71,228	tyrosineKinase
ABL2	STAT5A_y694	228,71,228	tyrosineKinase
ABL2	STAT5B_y699	228,71,228	tyrosineKinase
ABL2	SV2A_y41	228,71,228	tyrosineKinase
ABL2	SYNGR2_y203	228,71,228	tyrosineKinase
ABL2	TANC2_y1964	228,71,228	tyrosineKinase
ABL2	TAP2_y693	228,71,228	tyrosineKinase
ABL2	TBC1D19_y25	228,71,228	tyrosineKinase
ABL2	TEX2_y76	228,71,228	tyrosineKinase
ABL2	TJP1_y1435	228,71,228	tyrosineKinase
ABL2	TKT_y275	228,71,228	tyrosineKinase
ABL2	TOMM34_y54	228,71,228	tyrosineKinase
ABL2	TRA2B_y260	228,71,228	tyrosineKinase
ABL2	TRIM58_y55	228,71,228	tyrosineKinase
ABL2	UBA1_y55	228,71,228	tyrosineKinase
ABL2	USP15_y247	228,71,228	tyrosineKinase
ABL2	VCL_y100	228,71,228	tyrosineKinase
ABL2	VDAC1_y195	228,71,228	tyrosineKinase
ABL2	WAC_y25	228,71,228	tyrosineKinase
ABL2	ZNF264_y343	228,71,228	tyrosineKinase
ACVR1	ETS1_s251	51,153,255	PhosphoNetworks (PN)
ACVR1	FGR_s27	51,153,255	PhosphoNetworks (PN)
ACVR1	MDM2_s269	51,153,255	PhosphoNetworks (PN)
ACVR1	NFATC4_s272	51,153,255	PhosphoNetworks (PN)
ACVR1	NFATC4_s334	51,153,255	PhosphoNetworks (PN)
ACVR1	RPS6KA2_s218	51,153,255	PhosphoNetworks (PN)
ACVR1	RPS6KA2_t471	51,153,255	PhosphoNetworks (PN)
ACVR1	TRIM24_s316	51,153,255	PhosphoNetworks (PN)
ACVR1B	MAPK8_t367	51,153,255	PhosphoNetworks (PN)
ACVR1B	TDP2_t88	102,204,0	PhosphoSitePlus (PSP)
ACVR1B	TDP2_t92	102,204,0	PhosphoSitePlus (PSP)
ACVR2B	PRKCB1_t642	51,153,255	PhosphoNetworks (PN)
ACVRL1	ENG_s646	102,204,0	PhosphoSitePlus (PSP)
ACVRL1	ENG_s649	102,204,0	PhosphoSitePlus (PSP)
ACVRL1	ENG_t640	102,204,0	PhosphoSitePlus (PSP)
ACVRL1	ENG_t654	102,204,0	PhosphoSitePlus (PSP)
ADRBK1	ADRB2_s355	51,153,255	PhosphoNetworks (PN)
ADRBK1	ADRB2_s396	51,153,255	PhosphoNetworks (PN)
ADRBK1	ADRB2_s401	51,153,255	PhosphoNetworks (PN)
ADRBK1	ADRB2_t384	51,153,255	PhosphoNetworks (PN)
ADRBK1	EIF4B_s311	51,153,255	PhosphoNetworks (PN)
ADRBK1	EIF4B_t195	51,153,255	PhosphoNetworks (PN)
ADRBK1	EZR_t567	51,153,255	PhosphoNetworks (PN)
ADRBK1	FPR1_t331	51,153,255	PhosphoNetworks (PN)
ADRBK1	SNCA_t180	51,153,255	PhosphoNetworks (PN)
ADRBK1	SNCA_t298	51,153,255	PhosphoNetworks (PN)
ADRBK1	TP53_s46	51,153,255	PhosphoNetworks (PN)
ADRBK1	TUBB3_s420	51,153,255	PhosphoNetworks (PN)
ADRBK1	TUBB3_s444	51,153,255	PhosphoNetworks (PN)
AKT1	ACAP1_s554	102,204,0	PhosphoSitePlus (PSP)
AKT1	ACIN1_s1180	102,204,0	PhosphoSitePlus (PSP)
AKT1	ADRB2_s346	102,204,0	PhosphoSitePlus (PSP)
AKT1	AGAP2_s472	102,204,0	PhosphoSitePlus (PSP)
AKT1	AGAP2_s629	102,204,0	PhosphoSitePlus (PSP)
AKT1	AKT1_s246	102,204,0	PhosphoSitePlus (PSP)
AKT1	AKT1_t72	102,204,0	PhosphoSitePlus (PSP)
AKT1	AKT1S1_t246	102,204,0	PhosphoSitePlus (PSP)
AKT1	ALYREF_s34	102,204,0	PhosphoSitePlus (PSP)
AKT1	ALYREF_t219	102,204,0	PhosphoSitePlus (PSP)
AKT1	AR_s215	102,204,0	PhosphoSitePlus (PSP)
AKT1	AR_s792	102,204,0	PhosphoSitePlus (PSP)
AKT1	ARFIP2_s260	102,204,0	PhosphoSitePlus (PSP)
AKT1	ARHGAP19_s422	102,204,0	PhosphoSitePlus (PSP)
AKT1	ARHGAP22_s16	102,204,0	PhosphoSitePlus (PSP)
AKT1	ATG4B_s34	102,204,0	PhosphoSitePlus (PSP)
AKT1	ATXN1_s775	102,204,0	PhosphoSitePlus (PSP)
AKT1	BABAM1_s29	102,204,0	PhosphoSitePlus (PSP)
AKT1	BAD_s99	102,204,0	PhosphoSitePlus (PSP)
AKT1	BCL10_s218	102,204,0	PhosphoSitePlus (PSP)
AKT1	BCL10_s231	102,204,0	PhosphoSitePlus (PSP)
AKT1	BCL2L11_s87	102,204,0	PhosphoSitePlus (PSP)
AKT1	BCL3_s41	102,204,0	PhosphoSitePlus (PSP)
AKT1	BECN1_s295	102,204,0	PhosphoSitePlus (PSP)
AKT1	BMI1_s316	102,204,0	PhosphoSitePlus (PSP)
AKT1	BRAF_s365	102,204,0	PhosphoSitePlus (PSP)
AKT1	BRAF_s429	102,204,0	PhosphoSitePlus (PSP)
AKT1	BRCA1_s694	102,204,0	PhosphoSitePlus (PSP)
AKT1	BRCA1_t509	102,204,0	PhosphoSitePlus (PSP)
AKT1	BTK_s51	102,204,0	PhosphoSitePlus (PSP)
AKT1	BTK_t495	102,204,0	PhosphoSitePlus (PSP)
AKT1	C19orf21_s156	51,153,255	PhosphoNetworks (PN)
AKT1	C19orf21_s394	51,153,255	PhosphoNetworks (PN)
AKT1	C19orf21_s471	51,153,255	PhosphoNetworks (PN)
AKT1	C19orf21_t377	51,153,255	PhosphoNetworks (PN)
AKT1	CARD11_s558	102,204,0	PhosphoSitePlus (PSP)
AKT1	CARD11_s644	102,204,0	PhosphoSitePlus (PSP)
AKT1	CARD11_s652	102,204,0	PhosphoSitePlus (PSP)
AKT1	CARHSP1_s52	102,204,0	PhosphoSitePlus (PSP)
AKT1	CASP9_s196	102,204,0	PhosphoSitePlus (PSP)
AKT1	CBX3_t55	102,204,0	PhosphoSitePlus (PSP)
AKT1	CBX3_t89	102,204,0	PhosphoSitePlus (PSP)
AKT1	CBY1_s20	102,204,0	PhosphoSitePlus (PSP)
AKT1	CCDC88A_s1417	102,204,0	PhosphoSitePlus (PSP)
AKT1	CCNF_s577	102,204,0	PhosphoSitePlus (PSP)
AKT1	CCNF_t31	102,204,0	PhosphoSitePlus (PSP)
AKT1	CCT2_s260	102,204,0	PhosphoSitePlus (PSP)
AKT1	CDCA7_t163	102,204,0	PhosphoSitePlus (PSP)
AKT1	CDK2_t39	102,204,0	PhosphoSitePlus (PSP)
AKT1	CDK9_s175	51,153,255	PhosphoNetworks (PN)
AKT1	CDK9_s347	51,153,255	PhosphoNetworks (PN)
AKT1	CDKN1A_s146	102,204,0	PhosphoSitePlus (PSP)
AKT1	CDKN1A_t145	102,204,0	PhosphoSitePlus (PSP)
AKT1	CDKN1B_s10	102,204,0	PhosphoSitePlus (PSP)
AKT1	CDKN1B_t157	102,204,0	PhosphoSitePlus (PSP)
AKT1	CDKN1B_t198	102,204,0	PhosphoSitePlus (PSP)
AKT1	CDKN1C_s282	102,204,0	PhosphoSitePlus (PSP)
AKT1	CDKN1C_t310	102,204,0	PhosphoSitePlus (PSP)
AKT1	CELF1_s28	102,204,0	PhosphoSitePlus (PSP)
AKT1	CFLAR_s273	102,204,0	PhosphoSitePlus (PSP)
AKT1	CHEK1_s280	102,204,0	PhosphoSitePlus (PSP)
AKT1	CHGB_s617	51,153,255	PhosphoNetworks (PN)
AKT1	CHUK_t23	102,204,0	PhosphoSitePlus (PSP)
AKT1	CLK2_s34	102,204,0	PhosphoSitePlus (PSP)
AKT1	CLK2_t127	102,204,0	PhosphoSitePlus (PSP)
AKT1	COPS6_s60	102,204,0	PhosphoSitePlus (PSP)
AKT1	CREBBP_t1871	102,204,0	PhosphoSitePlus (PSP)
AKT1	CSNK2A1_t13	102,204,0	PhosphoSitePlus (PSP)
AKT1	CTNNB1_s552	102,204,0	PhosphoSitePlus (PSP)
AKT1	CTTN_t362	51,153,255	PhosphoNetworks (PN)
AKT1	CYTH2_t276	102,204,0	PhosphoSitePlus (PSP)
AKT1	DAXX_s97	51,153,255	PhosphoNetworks (PN)
AKT1	DIABLO_s67	102,204,0	PhosphoSitePlus (PSP)
AKT1	DLC1_s1004	102,204,0	PhosphoSitePlus (PSP)
AKT1	DLC1_s735	102,204,0	PhosphoSitePlus (PSP)
AKT1	DLC1_s766	102,204,0	PhosphoSitePlus (PSP)
AKT1	DNAJB2_s15	51,153,255	PhosphoNetworks (PN)
AKT1	DNMT1_s143	102,204,0	PhosphoSitePlus (PSP)
AKT1	DOCK6_s1194	102,204,0	PhosphoSitePlus (PSP)
AKT1	EDC3_s161	102,204,0	PhosphoSitePlus (PSP)
AKT1	EGFR_s229	102,204,0	PhosphoSitePlus (PSP)
AKT1	EMSY_s209	102,204,0	PhosphoSitePlus (PSP)
AKT1	EMSY_t207	102,204,0	PhosphoSitePlus (PSP)
AKT1	EP300_s1834	102,204,0	PhosphoSitePlus (PSP)
AKT1	EPHA2_s897	102,204,0	PhosphoSitePlus (PSP)
AKT1	ESR1_s167	102,204,0	PhosphoSitePlus (PSP)
AKT1	ESR1_s305	102,204,0	PhosphoSitePlus (PSP)
AKT1	EYA1_s299	102,204,0	PhosphoSitePlus (PSP)
AKT1	EZH2_s21	102,204,0	PhosphoSitePlus (PSP)
AKT1	FAF1_s582	102,204,0	PhosphoSitePlus (PSP)
AKT1	FAM129A_s602	102,204,0	PhosphoSitePlus (PSP)
AKT1	FANCA_s1149	102,204,0	PhosphoSitePlus (PSP)
AKT1	FBXO31_s33	102,204,0	PhosphoSitePlus (PSP)
