gene_info	entrezs	Tulip14	Tulip27	Tulip04	Tulip01	Tulip13	Tulip20	Tulip24	Tulip25	Tulip28	Tulip09	Tulip03	Tulip17	Tulip06	Tulip05	Tulip11	Tulip07	Tulip22
ADAMTS2	9509	0.246	0.172	0.544	0.041	-0.125	-0.317	-0.079	0.187	-0.041	-0.472	0.063	0.285	0.429	-0.486	-0.237	-0.118	-0.093
ADAMTSL2	9719	0.283	0.596	-0.621	0.099	0.022	0.115	0.075	0.11	-0.201	-0.097	0.004	0.097	0.598	-0.099	-0.278	-0.382	-0.321
ADAMTSL4	54507	-0.256	0.507	-0.447	-0.898	-0.166	-0.008	-0.684	-0.146	0.35	0.185	0.941	0.298	0.664	-0.057	-0.51	0.463	-0.237
ADD1	118	-0.804	0.049	0.075	0.106	-0.065	0.46	-1.028	-0.578	0.137	0.082	0.129	-0.06	1.023	1.708	-0.736	-0.639	0.142
ADD2	119	0.047	-0.013	-0.29	-0.124	-0.167	-0.07	-0.565	-0.388	-0.094	-0.649	0.648	-0.926	1.291	2.344	-0.317	-0.815	0.089
ADGRF5	221395	0.282	-0.037	-0.09	-0.016	0.153	-0.014	0.291	0.187	-0.004	-0.521	-0.16	0.182	0.047	-0.155	-0.15	0.02	-0.015
ADGRL2	23266	0.349	0.067	0.211	0.082	0.044	-0.163	-0.265	-0.154	0.211	-0.62	0.41	0.177	0.374	-0.255	-0.128	-0.246	-0.094
ADH1A	124	-0.433	1.8	0.054	0.595	0.845	1.034	1.723	0.994	-0.205	-0.683	-0.593	-0.543	-0.367	-1.309	-1.288	-1.181	-0.444
ADH1C	126	-0.402	1.886	0.682	0.392	0.601	1.528	1.546	1.386	-1.008	-1.238	-0.596	-0.73	-0.467	-0.565	-1.041	-1.008	-0.967
ADH4	127	0.548	1.543	-0.21	-1.023	0.335	1.164	1.318	1.241	-0.852	-1.52	0.191	-1.424	0.445	0.445	-0.434	-1.009	-0.756
ADIPOQ	9370	-0.285	0.86	-0.179	-0.425	0.083	-0.561	-0.993	-0.479	0.72	-0.111	0.525	0.581	0.209	-0.025	-0.045	-0.049	0.173
ADM	133	0.385	-0.019	0.351	0.524	0.31	-0.311	-0.595	-0.167	-0.019	-0.557	0.162	0.494	0.732	-0.197	-0.69	-0.494	0.091
AEBP1	165	0.475	0.18	0.313	-0.179	0.083	-0.139	-0.436	-0.145	-0.168	0.093	0.044	0.171	0.271	-0.256	-0.226	0.396	-0.478
AFM	173	0.011	0.557	0.095	0.852	0.267	0.259	0.183	-0.004	-0.096	-0.793	0.053	-0.444	0.464	-0.867	-0.102	-0.547	0.112
AGA	175	0.056	0.043	0.241	0.533	-0.338	0.422	0.249	0.055	-0.037	-0.126	0.208	-0.046	0.449	-0.393	-0.361	-0.53	-0.425
AGR3	155465	0.781	-0.16	-0.671	1.83	0.591	0.806	-0.756	0.371	-0.33	-0.834	-0.603	-0.352	0.851	0.879	-1.26	-0.32	-0.824
AGRN	375790	0.369	0.05	0.199	-0.031	0.058	-0.03	-0.2	0.006	-0.22	-0.465	0.232	0.429	0.207	-0.182	-0.022	-0.067	-0.334
AGT	183	0.618	0.243	0.537	0.147	-0.031	-0.073	-0.896	-0.121	-0.119	0.072	-0.815	0.03	-0.881	0.524	-0.058	0.355	0.469
AHCY	191	-0.746	-0.38	0.364	0.491	0.029	-0.165	0.095	0.359	-0.406	-0.457	-0.206	-0.327	-0.139	1.558	-0.383	0.076	0.238
AHNAK	79026	-0.462	-0.482	0.06	0.417	0.084	0.122	-0.279	0.049	0.382	1.064	-0.391	-0.154	0.403	-0.234	-0.221	-0.53	0.171
AHSG	197	0.326	0.241	-0.2	0.002	0.084	-0.035	-0.025	-0.07	-0.146	-0.208	0.284	-0.139	-0.153	0.004	0.222	0.105	-0.292
AHSP	51327	-1.885	0.15	0.862	0.613	0.564	-1.488	0.228	0.699	-0.51	-0.331	-0.029	-0.145	0.35	1.701	-0.386	-0.754	0.359
AIFM1	9131	-0.048	0.241	0.087	-0.077	0.091	-0.07	-0.34	-0.141	0.305	-0.476	0.597	0.028	0.734	-0.334	-0.102	-0.38	-0.113
AK1	203	-0.554	-0.578	0.222	0.138	0.033	-0.44	-0.744	0.025	-0.266	-0.21	-0.228	-0.368	0.615	1.861	0.041	0.34	0.113
AK2	204	-0.668	-0.426	-0.54	0.69	0.155	0.369	-0.391	-0.13	0.447	1.004	-0.106	-0.461	0.332	0.26	0.026	-0.449	-0.111
AKAP12	9590	0.142	0.315	0.107	-0.699	0.359	0.075	-0.284	-0.08	0.08	-0.249	0.527	0.463	0.419	-0.423	-0.2	0.075	-0.625
AKR1A1	10327	-0.578	-0.365	0.008	0.63	0.105	0.407	0.098	0.172	0.087	0.262	-0.436	-0.239	0.104	0.653	-0.228	-0.537	-0.142
AKR7A2	8574	-0.725	-1.126	-0.017	0.563	0.147	-0.116	0.07	0.082	0.739	0.709	-0.781	0.354	-0.224	0.966	-0.081	-0.304	-0.255
ALAD	210	-0.107	-0.407	0.327	0.64	-0.325	-0.394	0.167	0.503	-0.713	-0.874	-0.761	-0.233	0.394	2.217	-0.431	-0.135	0.132
ALB	213	-0.109	-0.025	0.249	0.619	0.313	-0.317	0.275	-0.083	0.011	-0.56	1.271	-0.407	0.147	-0.987	0.093	-0.375	-0.116
ALCAM	214	0.233	0.378	0.019	-0.266	0.214	0.254	0.178	-0.057	-0.184	-0.36	0.33	0.009	0.301	-0.319	-0.147	-0.413	-0.171
ALDH1A1	216	0.211	0.217	0.539	0.316	0.185	-0.072	0.815	-0.111	-1.294	-0.88	-0.468	0.095	0.369	1.408	-0.759	-0.406	-0.166
ALDH9A1	223	0.04	0.096	0.268	0.04	0.217	-0.115	0.51	0.566	-0.554	-0.552	-0.14	-0.131	-0.033	0.683	-0.532	-0.495	0.131
ALDOA	226	-0.867	-0.314	-0.596	0.751	0.13	0.34	-0.154	0.09	0.336	0.598	-0.536	0.076	-0.245	0.147	0.224	0.022	-0.003
ALDOB	229	-0.04	1.02	0.527	0.985	0.097	1.847	2.109	0.504	-1.139	-0.635	-0.467	-0.58	-1.131	-0.921	-0.483	-1.676	-0.015
ALDOC	230	-0.187	0.042	-0.006	0.282	0.1	0.357	0.023	0.091	0.04	0.186	-0.303	0.176	-0.17	0.102	-0.147	-0.208	-0.379
ALPL	249	0.53	0.107	0.091	0.088	-0.328	-0.375	0.221	-0.187	-0.197	-0.245	0.258	-0.166	0.619	-0.595	0.165	0.168	-0.155
AMBP	259	0.593	-0.007	0.405	0.068	-0.197	-0.135	-0.008	-0.373	-0.353	-0.041	-0.324	-0.142	0.161	-0.141	0.041	0.407	0.047
AMH	268	0.089	0.114	-0.296	-0.024	0.99	-0.513	-0.702	1.307	-0.042	-0.894	0.6	0.657	0.369	-0.791	0.386	-0.822	-0.427
AMICA1	NA	0.194	-0.098	0.039	-0.252	0.184	-0.151	-0.221	0.318	-0.042	-0.433	0.281	0.115	0.408	-0.452	-0.229	0.779	-0.44
AMY1A	276	0.761	-0.371	0.363	0.643	0.504	-0.794	-0.297	-0.65	0.17	0.679	-0.007	1.827	-0.135	-0.427	0.218	-0.84	-1.645
AMY2A	279	0.179	-0.145	0.325	-0.649	0.378	0.612	0.039	0.278	0.318	-0.031	-0.415	0.825	-1.104	-0.409	0.213	-0.031	-0.383
ANG	283	0.287	0.317	-0.83	-0.289	0.11	-0.022	0.203	0.124	0.081	0.381	0.242	-0.529	0.095	-0.369	0.302	0.08	-0.186
ANGPTL3	27329	0.251	-0.097	0.192	-0.392	0.438	0.337	-0.074	0.023	-0.261	-0.286	0.346	0.411	0.481	0.012	-0.609	-0.223	-0.55
ANGPTL6	83854	0.235	0.061	-0.091	-0.248	-0.275	-0.136	-0.448	0.089	-0.258	-0.133	0.697	-0.01	-0.369	0.21	0.344	0.509	-0.176
ANGPTL7	10218	-0.129	0.444	-0.14	-0.506	-0.255	-0.276	-0.463	-0.506	0.363	-0.037	0.593	-0.091	0.336	-0.148	0.381	0.469	-0.034
ANK1	286	-0.304	-0.263	-0.185	-0.133	-0.135	-0.202	-0.441	0.104	-0.147	-0.229	-0.01	-0.592	1.395	2.092	-0.08	-0.649	-0.221
ANPEP	290	0.175	0.028	0.269	0.582	-0.466	-0.44	0.091	-0.19	-0.065	-0.361	-0.007	0.418	-0.116	0.06	-0.106	0.228	-0.099
ANTXR1	84168	-0.036	0.105	0.087	-0.499	0.024	0.099	-0.241	-0.034	0.028	-0.003	0.226	0.481	0.16	-0.357	-0.026	0.575	-0.589
ANTXR2	118429	0.399	-0.225	0.567	-0.17	0.32	0.123	-0.433	-0.182	-0.667	-0.356	0.138	1.285	-0.237	-0.295	-0.322	0.143	-0.088
ANXA1	301	-0.405	-0.37	0.508	0.865	0.104	-0.059	-0.112	0.091	-0.152	0.114	-0.484	-0.374	0.105	0.307	-0.142	-0.513	0.515
ANXA11	311	-0.768	-0.185	-0.726	0.787	0.17	0.392	-0.394	-0.014	0.728	0.92	0.057	-0.099	0.009	-0.468	0.089	-0.512	0.016
ANXA2	302	-0.174	-0.048	0.013	0.154	0.298	-0.215	-0.048	-0.28	-0.074	-0.134	0.287	0.151	0.603	-0.339	0.119	-0.565	0.254
ANXA3	306	-1.302	-0.583	-0.35	1.224	0.695	0.392	-0.262	0.115	0.791	0.638	-0.304	-0.26	-0.068	-0.052	-0.103	-0.694	0.123
ANXA4	307	-1.305	-0.65	0.284	0.829	-0.017	0.317	-0.089	0.183	0.628	0.912	-0.089	-0.802	0.134	0.506	0.133	-0.878	-0.094
ANXA5	308	-1.432	-0.578	-0.704	1.074	0.21	0.135	-0.028	0.461	0.669	1.446	-0.512	-0.434	-0.273	0.444	0.07	-0.738	0.191
AOC3	8639	0.434	0.308	0.041	0.115	-0.232	0.237	0.023	-0.16	-0.109	-0.072	0.477	0.141	-0.404	0.06	-0.218	-0.408	-0.233
APCS	325	0.338	-0.442	0.741	0.555	0.326	0.437	-0.005	-0.44	-0.424	-0.131	-0.64	0.063	0.012	-0.037	-0.276	-0.18	0.103
APEH	327	-0.435	-0.249	0.377	0.555	0.022	-0.052	-0.288	0.222	-0.545	-0.549	-0.3	-0.364	0.565	1.871	-0.59	-0.35	0.111
APLP1	333	0.149	-0.091	-0.51	-0.058	0.115	-0.915	-0.622	-0.16	0.251	0.209	0.647	0.153	0.879	0.121	0.5	-0.377	-0.292
APMAP	57136	-0.173	-0.106	-0.458	-0.705	-0.115	0.149	0.16	0.375	0.055	0.27	0.048	-0.225	-0.163	-0.729	0.546	0.376	0.695
APOA1	335	0.539	0.332	-0.84	-1.155	0.12	-0.178	-0.571	0.081	-0.202	0.436	0.093	0.817	0.063	-0.011	0.326	0.054	0.096
APOA2	336	0.382	0.624	-0.386	-0.73	0.188	0.042	-0.488	0.046	0.12	0.246	-0.023	0.11	-0.026	-0.686	0.678	-0.508	0.411
APOA4	337	0.532	0.241	0.027	0.039	-0.008	0.268	0.223	0.089	0.071	-0.058	-0.438	0.735	-0.254	-0.041	-0.069	0.188	-1.544
APOA5	116519	0.182	0.437	0.311	-0.109	0.466	-0.283	0.767	-0.014	-0.311	-0.405	0.008	0.643	-0.297	-0.398	-0.64	-0.474	0.116
APOB	338	0.746	-0.286	0.573	-0.331	-0.329	0.352	0.547	1.457	-0.282	-0.455	-0.389	0.072	-1.813	0.547	-0.782	-0.108	0.482
APOC1	341	0.26	0.823	-0.117	-0.929	0.228	-0.056	0.098	0.474	-0.121	-0.009	0.09	-0.095	-0.066	-0.471	-0.454	-0.106	0.453
APOC2	344	0.169	-0.129	0.792	0.154	0.299	1.411	1.59	1.194	-0.58	-0.381	-0.934	-0.593	-1.056	-1.03	-0.849	-0.445	0.39
APOC3	345	0.491	0.267	0.609	-0.512	0.108	1.017	1.371	0.491	-0.719	-0.214	-0.593	-0.478	-0.928	-0.814	-0.751	0.185	0.469
APOC4	346	-0.196	0.525	1.746	0.51	-0.426	1.664	1.854	1.227	-0.432	-0.045	-0.219	-1.257	-1.059	-1.811	-1.652	-0.345	-0.083
APOD	347	0.494	0.258	-0.327	-0.722	-0.208	-0.546	-0.311	0.901	-0.08	-0.079	0.335	-0.18	-0.026	0.17	0.035	-0.045	0.331
APOE	348	0.733	0.324	0.775	-0.615	0.294	0.649	1.053	0.606	-0.598	-0.323	-0.526	0.405	-1.232	-0.313	-0.621	-0.607	-0.004
APOF	319	0.684	-0.267	-0.354	-0.7	-0.033	-0.7	-0.058	0.306	-0.347	0.447	0.049	0.188	0.607	-0.01	-0.204	0.23	0.162
APOH	350	0.2	0.18	-0.074	0.371	0.274	0.229	0.095	0.097	-0.33	-0.352	0.065	-0.121	0.282	-0.042	-0.27	-0.439	-0.165
APOL1	8542	0.7	0.131	0.824	0.241	-0.104	-0.082	0.491	-0.42	-0.436	-0.29	-1.004	0.433	-0.542	-0.153	0.407	-0.323	0.129
APOL3	80833	0.599	0.415	0.599	0.744	0.343	0.575	0.368	0.2	0.014	0.241	-1.561	0.692	-0.64	0.646	-0.381	0.139	-2.992
APOM	55937	0.784	0.328	-0.686	-0.659	-0.468	-0.393	0.367	0.87	0.011	-0.018	-0.175	-0.395	-0.466	-0.405	0.458	0.341	0.504
APP	351	-0.889	-0.529	-0.143	0.729	0.402	0.335	-0.382	-0.024	0.673	0.974	-0.3	-0.591	0.228	-0.299	-0.113	-0.823	0.751
APRT	353	-1.281	-0.931	0.051	0.777	0.103	0.22	-0.334	0.155	0.656	0.855	-0.557	-0.513	-0.099	1.318	0.107	-0.628	0.104
ARF5	381	-1.406	0.157	-0.616	1.17	0.567	0.478	-0.744	0.592	1.422	1.173	-0.779	-0.68	-0.661	-0.204	0.221	-0.734	0.044
ARG1	383	-0.365	-0.554	-0.191	0.388	0.177	-0.481	-0.174	-0.208	-0.049	-0.141	0.424	0.045	0.697	0.754	0.013	-0.596	0.261
ARHGAP1	392	-0.669	-0.153	-0.553	0.726	0.448	0.172	-0.46	0.101	0.873	0.903	-0.137	-0.029	-0.366	-0.382	-0.074	-0.571	0.169
ARHGAP18	93663	-1.352	-0.601	-0.451	1.01	0.16	0.03	-0.47	0.412	1.165	0.982	0.144	-0.22	-0.37	-0.713	0.356	-0.378	0.298
ARHGAP6	395	-0.061	-0.277	-0.138	-0.028	-0.215	0.448	-0.609	-0.458	0.591	0.862	0.247	-0.258	0.486	-0.64	-0.024	-0.393	0.466
ARHGDIA	396	-1.418	-0.858	-0.578	0.787	0.258	0.216	-0.32	0.079	0.922	0.884	-0.349	-0.346	-0.306	0.644	0.005	0.377	0.003
ARHGDIB	397	-1.483	-0.743	-1.066	1.272	0.056	0.471	0.063	0.392	0.691	1.007	-0.516	-0.808	-0.255	0.186	0.499	-0.199	0.434
ARPC1B	10095	-1.226	-0.477	-0.573	0.111	0.156	0.702	-0.204	0.235	1.073	1.137	-0.183	-0.174	-0.93	-0.449	0.673	-0.387	0.515
ARPC2	10109	-0.551	-0.774	-0.409	-0.008	0.399	0.697	-0.198	-0.003	1.228	0.843	-0.287	-0.249	-0.6	-0.255	0.442	-0.739	0.464
ARPC3	10094	-1.811	-0.481	-0.484	0.036	0.459	0.898	-0.383	0.046	1.114	1.196	-0.21	0.171	-0.668	-0.251	0.42	-0.359	0.306
ARPC4	10093	-1.686	-0.46	-0.522	0.292	0.575	0.565	-0.311	0.014	1.173	1.121	-0.137	0.142	-0.347	-0.412	0.305	-0.605	0.292
ARPC5	10092	-1.525	-0.416	-0.773	0.159	0.377	0.659	-0.484	0.128	0.968	1.284	-0.186	-0.531	-0.045	0.339	0.427	-0.363	-0.017
ARRB1	408	-1.891	-0.667	-0.692	0.869	0.223	0.527	-0.163	0.271	1.095	1.077	-0.176	-0.497	-0.453	-0.631	0.871	-0.089	0.327
ARSA	410	0.989	0.696	-0.147	-0.262	-0.348	1.035	1.135	0.162	-0.524	-0.009	-0.392	-0.096	-0.19	-0.09	-0.602	-0.551	-0.805
ARSG	22901	0.296	-0.207	0.112	-0.535	0.69	-0.857	0.435	0.112	0.067	-0.535	0.866	-1.13	-0.021	0.351	0.28	-0.035	0.112
ART3	419	0.668	0.078	-0.116	-0.347	-0.538	-0.33	0.066	-0.194	-0.386	-0.145	0.378	0.428	0.219	0.036	0.074	0.527	-0.417
ART4	420	0.225	0.144	0.222	0.03	0.21	0.417	0.114	-0.002	-0.102	-0.155	0.015	-0.079	-0.018	-0.409	-0.058	-0.288	-0.266
ASAH2	56624	0.356	0.537	0.99	-0.518	3.912	-0.635	0.235	-0.363	-0.531	-1.095	-0.456	-0.246	-0.173	-0.533	-0.094	-0.672	-0.715
ASGR2	433	0.831	0.034	-0.315	-0.039	0.383	-0.069	0.135	-0.059	-0.514	0.16	-0.182	0.479	0.161	-0.53	-0.313	0.016	-0.179
ASL	435	-0.592	0.06	-0.094	1.002	-0.103	0.457	1.102	0.321	-0.018	0.66	0.189	-0.186	-0.514	-1.045	-0.465	-0.878	0.106
ATF6	22926	0.243	0.436	-0.166	-0.389	0.109	-0.222	-0.016	-0.399	-0.159	0.024	-0.117	-0.07	0.162	-0.007	0.14	0.656	-0.226
ATF6B	1388	0.292	0.455	0.07	0.214	0.113	-0.228	-0.12	-0.328	-0.338	0.07	0.019	-0.172	0.33	-0.007	-0.278	0.041	-0.135
ATIC	471	-1.052	-0.284	0.222	0.615	0.002	-0.059	-0.271	0.449	0.133	-0.151	-0.187	-0.096	0.003	1.172	-0.208	-0.325	0.036
ATOX1	475	-0.974	-0.21	-0.4	0.79	0.32	0.606	-0.489	0.335	0.844	0.938	-0.345	-0.672	-0.114	-0.348	0.3	-0.557	-0.026
ATP1B1	481	0.322	0.246	-0.053	-0.162	0.127	-0.319	-0.231	-0.393	-0.003	-0.071	0.422	-0.002	0.242	-0.351	0.172	0.187	-0.133
ATP2A3	489	-0.935	0.446	-0.799	-0.085	0.433	2.498	-0.598	-1.121	1.998	-1.399	-0.388	-0.176	-0.253	0.585	-0.771	-1.034	1.599
ATP6AP1	537	0.334	-0.282	-0.694	0.245	0.202	-0.116	-0.198	-0.122	0.694	-0.286	0.602	-0.482	0.55	-0.426	-0.046	0.351	-0.324
ATP7A	538	0.229	0.315	0.348	0.077	0.189	-0.32	-0.17	-0.312	-0.075	-0.521	0.514	0.357	0.158	-0.119	-0.326	-0.228	-0.114
ATRN	8455	0.147	0.544	0.076	0.134	0.134	0.223	0.038	0.03	-0.005	-0.494	0.157	-0.257	0.496	-0.542	-0.238	-0.438	-0.004
AXL	558	0.275	-0.114	0.167	-0.411	-0.004	0.063	-0.112	0.307	0.001	0.032	0.407	0.123	0.346	-0.504	-0.29	-0.081	-0.204
AZGP1	563	0.432	-0.058	0.116	-0.055	0.067	0.394	-0.547	-0.243	-0.193	-0.186	-0.128	0.281	0.436	0.007	-0.413	-0.06	0.15
B2M	567	0.265	0.091	0.195	-0.198	0.134	-0.213	-0.068	-0.053	0.283	0.25	0.191	0.189	0.168	-0.77	0.01	-0.179	-0.294
B3GALNT1	8706	-0.084	-0.172	-0.166	0.009	0.005	-0.381	-0.054	-0.181	-0.028	-0.313	0.298	-0.032	0.459	0.509	0.182	0.502	-0.553
B3GAT3	26229	0.353	-0.26	0.212	-0.143	0.045	-0.272	-0.454	-0.386	0.289	-0.296	0.691	0.074	0.221	-0.272	-0.015	0.168	0.045
B3GNT2	10678	0.381	0.098	-0.261	-0.399	-0.178	-0.164	0.13	-0.211	-0.179	0.007	0.022	0.253	0.038	-0.18	0.472	0.55	-0.379
B3GNT8	374907	0.954	-0.545	-0.176	-0.49	-0.285	0.019	0.398	-0.262	-0.107	-0.492	0.031	0.78	-0.078	-0.009	0.416	-0.06	-0.094
B4GAT1	11041	0.39	0.191	-0.182	0.022	0.101	-0.261	-0.269	-0.238	0.028	-0.061	0.182	0.151	0.235	0.242	-0.024	-0.18	-0.327
BASP1	10409	0.242	0.065	0.195	-0.088	0.119	0.045	-0.239	0.008	0.209	-0.541	0.354	0.579	0.229	-0.097	-0.236	-0.192	-0.652
BCAM	4059	0.236	0.088	-0.028	-0.047	-0.044	-0.322	0.054	-0.214	-0.097	-0.289	0.253	0.39	0.235	0.008	-0.262	0.408	-0.369
BCHE	590	0.309	0.308	0.523	0.353	0.255	0.473	0.114	0.236	-0.378	-0.308	-0.627	0.149	-0.317	-0.373	-0.18	-0.646	0.109
BHMT	635	-0.092	1.267	0.858	0.256	0.647	1.802	1.389	0.661	-0.323	-0.871	-0.304	-0.808	0.051	-1.055	-1.046	-1.452	-0.979
BID	637	-1.184	-0.786	0.336	0.927	0.233	0.265	-0.149	-0.055	0.75	0.705	-0.435	-0.321	-0.089	0.699	-0.199	-0.625	-0.07
BIN2	51411	-2.009	-0.813	-0.58	0.971	0.361	0.729	-0.748	0.043	1.444	1.544	-0.455	-0.246	-0.478	0.178	-0.045	-0.078	0.183
BLMH	642	0.22	0.044	0.078	0.227	0.418	0.169	-0.117	-0.22	0.134	-0.118	-0.286	0.061	-0.313	-0.044	-0.019	-0.131	-0.102
BLVRA	644	-0.432	-0.469	0.158	0.087	0.205	-0.15	-0.364	-0.06	0.071	-0.128	0.094	-0.207	0.137	1.418	-0.179	-0.003	-0.179
BLVRB	645	-0.124	-0.465	0.262	-0.12	0.012	-0.382	-0.022	0.634	-1.17	-0.935	-0.597	-0.56	0.835	2.344	-0.083	0.39	-0.018
BMP1	649	0.467	-0.013	-0.027	0.066	0.032	0.04	0.271	-0.065	-0.184	-0.134	-0.21	0.042	-0.073	0.125	-0.278	0.401	-0.458
BOC	91653	-0.243	0.484	-0.594	-0.414	-0.181	-0.201	-0.087	0.051	-0.079	0.248	0.341	-0.496	0.662	-0.391	0.254	0.799	-0.154
BOLA2	552900	-0.362	-0.858	0.35	1.037	0.14	0.013	-0.298	0.108	-0.446	-0.269	-0.384	-0.063	0.78	1.527	-0.672	-0.513	-0.089
BPGM	669	-0.425	-0.541	0.747	0.234	0.212	-0.046	-0.342	0.582	-0.821	-0.898	-0.469	-0.092	0.146	1.619	-0.029	0.303	-0.18
BROX	148362	-0.77	-0.604	0.347	0.49	0.125	-0.21	0.003	0.15	0.08	0.099	-0.029	-0.407	0.042	0.898	-0.152	-0.295	0.233
BST1	683	0.054	0.381	-0.043	-0.007	-0.637	0.254	0.018	-0.259	-0.015	-0.761	0.859	0.146	0.686	-0.034	-0.688	0.125	-0.079
BTAF1	9044	0.191	-0.72	1.523	-1.078	-0.603	-1.369	-0.229	0.487	-0.677	-0.218	1.023	-0.193	0.321	0.177	1.143	0.1	0.123
BTD	686	0.133	-0.042	0.287	0.197	0.124	0.049	0.475	-0.215	-0.044	-0.312	-0.374	0.257	-0.303	-0.137	0.131	-0.167	-0.057
BTK	695	0.375	-0.739	0.634	0.397	0.429	0.61	0.299	0.28	-0.088	-0.317	-0.566	0.573	-0.402	0.092	-0.444	-0.649	-0.485
C14orf37	NA	0.383	0.068	0.108	-0.173	-0.604	-0.292	-0.401	-0.389	0.143	0.027	0.726	0.42	0.552	-0.426	0.17	-0.045	-0.268
